category,region,distance,time_required,level,subway,Transportation,course_name,course_detail,explain,point_number,point_name,long_,lat_
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1475,서울대학교 버스정류장,126.9478376,37.4669357
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1473,도토리 쉼터,126.9472706,37.45502868
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1472,전망 쉼터,126.9480859,37.45394446
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1469,책읽는 쉼터,126.9461307,37.45583426
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1468,제2광장 자락길(무장애숲길)입구,126.9456405,37.45578754
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1471,바위 쉼터,126.94856,37.45463125
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1470,잣나무 쉼터,126.9466079,37.45585133
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1476,관악산 호수공원,126.9471659,37.45835825
근교산자락길,관악구,1.3km,30분,1,2호선,진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501 506 지선(초록) 6515 5511 5513 5515 5516 5517 5528 6512 6513 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511 5513 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,관악산 자락길(무장애숲길), 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기,1474,관악산 등산로 입구,126.9462102,37.46829457
한양도성길,종로구중구,1.8km, 1시간,1,1호선2호선3호선4호선5호선,출발지 : 동대문역(1ㆍ4호선) 6번 7번 출구 → 흥인지문<br /> 진입로 : 동대문역사문화공원역(245호선) 3번출구 → 도보5분 → 광희문<br /> 도착지 : 동대입구역(3호선) 5번 출구 → 장충체육관   ,흥인지문구간, 흥인지문-동대문역사문화공원(옛 동대문운동장 터)-광희문-장충체육관, 흥인지문에서 광희문을 지나 장충체육관까지 이어지는 구간이다. 흥인지문 일대는 도성 안에서 가장 지대가 낮아 성 안의 물이 이곳으로 흘러들어 수문(오간수문?이간수문)으로 빠져 나갔고 하도감? 염초청?훈련원 등의 군사시설도 밀집했다. 대한제국 시기에는 전차개설로 일제강점기에는 도로 건설과 경성운동장 건설 등으로 해방 후에는 도로 확장과 주택 건설 등으로 인해 흥인지문에서 장충동에 이르는 성벽 대부분이 철거?훼손되었다. 현재 이간수문은 원 위치에 정비되어 있고 하도감 유구는 동대문역사문화공원 안으로 이전되어 전시 중이다. 주변의 동대문디자인플라자?동대문시장?평화시장?방산시장 등에서는 쇼핑도 즐길 수 있다.<br /> ※광희문에서 장충체육관 방면으로 가는 길은 민가 지역이니 조용히 걷는 배려가 필요하다.<br /> ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.,1446,장충체육관,127.0070114,37.55812795
